nombreestablecimiento,zona,niveles,especialidad,grados,modelos_Educativos,capacidades_Excepcionales,idiomas
GIMN CAMPESTRE BETH-SHALOM (ANTIGUO EL REDIL)                                                       ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
INST GUSTAVO ADOLFO BECQUER                                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMERCIAL,ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL HERMANOS BELTRAN                                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","NO APLICA,ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,14,15,16,17",EDUCACIÓN TRADICIONAL,,INGLÉS
COL HOWARD GARDNER                                                                                  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11,14,15,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,
INST DE PEDAG AUTOACTIVA DE GRUPOS (IPAG)                                                           ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PEDAGOGICO,OTRO,COMERCIAL,ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11,14,15",EDUCACIÓN TRADICIONAL,CAPACIDADES EXCEPCIONALES,
COL ISABELITA TEJADA                                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,14,15,17,18",EDUCACIÓN TRADICIONAL,,INGLÉS
COL JAZMIN OCCIDENTAL                                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL JOSE JOAQUIN VARGAS                                                                             ,URBANA,"MEDIA,BÁSICA SECUNDARIA",ACADÉMICA,"6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL JONATHAN SWIFT                                                                                  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,CAPACIDADES EXCEPCIONALES,INGLÉS
COL JORDAN DE SAJONIA                                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
